,ADS_Index
21/03/1900,-0.571214
21/03/1900,-0.618214
21/03/1900,-0.662263
21/03/1900,-0.703373
21/03/1900,-0.741558
21/03/1900,-0.776828
21/03/1900,-0.809196
21/03/1900,-0.838671
21/03/1900,-0.865261
21/03/1900,-0.888976
21/03/1900,-0.909821
21/03/1900,-0.927804
21/03/1900,-0.94293
21/03/1900,-0.955204
21/03/1900,-0.964629
21/03/1900,-0.971208
21/03/1900,-0.974944
21/03/1900,-0.975837
21/03/1900,-0.973887
21/03/1900,-0.969095
21/03/1900,-0.961458
21/03/1900,-0.950975
21/03/1900,-0.937641
21/03/1900,-0.921454
21/03/1900,-0.902408
21/03/1900,-0.880497
21/03/1900,-0.855715
21/03/1900,-0.828053
21/03/1900,-0.797504
21/03/1900,-0.764059
21/03/1900,-0.727706
21/03/1900,-0.688435
21/03/1900,-0.652413
21/03/1900,-0.619627
21/03/1900,-0.590069
21/03/1900,-0.563728
21/03/1900,-0.540597
21/03/1900,-0.520669
21/03/1900,-0.503938
21/03/1900,-0.490399
21/03/1900,-0.480047
21/03/1900,-0.47288
21/03/1900,-0.468895
21/03/1900,-0.468091
21/03/1900,-0.470468
21/03/1900,-0.476026
21/03/1900,-0.484767
21/03/1900,-0.496694
21/03/1900,-0.511811
21/03/1900,-0.530122
21/03/1900,-0.551632
21/03/1900,-0.576349
21/03/1900,-0.604279
21/03/1900,-0.635432
21/03/1900,-0.669817
21/03/1900,-0.707444
21/03/1900,-0.748325
21/03/1900,-0.792472
21/03/1900,-0.839899
21/03/1900,-0.89062
21/03/1900,-0.944651
21/03/1900,-1.00201
21/03/1900,-1.05723
21/03/1900,-1.11034
21/03/1900,-1.16135
21/03/1900,-1.21027
21/03/1900,-1.25712
21/03/1900,-1.30192
21/03/1900,-1.34467
21/03/1900,-1.3854
21/03/1900,-1.42411
21/03/1900,-1.46082
21/03/1900,-1.49553
21/03/1900,-1.52826
21/03/1900,-1.55902
21/03/1900,-1.58781
21/03/1900,-1.61465
21/03/1900,-1.63954
21/03/1900,-1.6625
21/03/1900,-1.68352
21/03/1900,-1.70262
21/03/1900,-1.7198
21/03/1900,-1.73506
21/03/1900,-1.74842
21/03/1900,-1.75987
21/03/1900,-1.76941
21/03/1900,-1.77706
21/03/1900,-1.78281
21/03/1900,-1.78667
21/03/1900,-1.78863
21/03/1900,-1.7887
21/03/1900,-1.78688
21/03/1900,-1.78316
21/03/1900,-1.77861
21/03/1900,-1.77324
21/03/1900,-1.76704
21/03/1900,-1.76
21/03/1900,-1.75213
21/03/1900,-1.74342
21/03/1900,-1.73387
21/03/1900,-1.72348
21/03/1900,-1.71224
21/03/1900,-1.70015
21/03/1900,-1.68721
21/03/1900,-1.67341
21/03/1900,-1.65876
21/03/1900,-1.64323
21/03/1900,-1.62684
21/03/1900,-1.60957
21/03/1900,-1.59142
21/03/1900,-1.57238
21/03/1900,-1.55246
21/03/1900,-1.53163
21/03/1900,-1.5099
21/03/1900,-1.48726
21/03/1900,-1.4637
21/03/1900,-1.43921
21/03/1900,-1.41379
21/03/1900,-1.38744
21/03/1900,-1.36013
21/03/1900,-1.33187
21/03/1900,-1.30264
21/03/1900,-1.27243
21/03/1900,-1.24313
21/03/1900,-1.2147
21/03/1900,-1.18716
21/03/1900,-1.16049
21/03/1900,-1.13467
21/03/1900,-1.10971
21/03/1900,-1.0856
21/03/1900,-1.06232
21/03/1900,-1.03988
21/03/1900,-1.01826
21/03/1900,-0.997457
21/03/1900,-0.977466
21/03/1900,-0.95828
21/03/1900,-0.939894
21/03/1900,-0.922301
21/03/1900,-0.905498
21/03/1900,-0.889477
21/03/1900,-0.874235
21/03/1900,-0.859767
21/03/1900,-0.846068
21/03/1900,-0.833134
21/03/1900,-0.820962
21/03/1900,-0.809547
21/03/1900,-0.798886
21/03/1900,-0.788976
21/03/1900,-0.779814
21/03/1900,-0.771397
21/03/1900,-0.763722
21/03/1900,-0.756787
21/03/1900,-0.75059
21/03/1900,-0.745129
21/03/1900,-0.740526
21/03/1900,-0.73678
21/03/1900,-0.733888
21/03/1900,-0.731851
21/03/1900,-0.730668
21/03/1900,-0.730339
21/03/1900,-0.730862
21/03/1900,-0.732239
21/03/1900,-0.73447
21/03/1900,-0.737555
21/03/1900,-0.741496
21/03/1900,-0.746294
21/03/1900,-0.75195
21/03/1900,-0.758466
21/03/1900,-0.765843
21/03/1900,-0.774085
21/03/1900,-0.783194
21/03/1900,-0.793171
21/03/1900,-0.804022
21/03/1900,-0.815748
21/03/1900,-0.828354
21/03/1900,-0.841842
21/03/1900,-0.856218
21/03/1900,-0.871486
21/03/1900,-0.88765
21/03/1900,-0.904716
21/03/1900,-0.922688
21/03/1900,-0.941572
21/03/1900,-0.961374
21/03/1900,-0.9821
21/03/1900,-1.00376
21/03/1900,-1.02429
21/03/1900,-1.04372
21/03/1900,-1.06204
21/03/1900,-1.07925
21/03/1900,-1.09537
