Date,CPTRA.Value
12/31/2021,166.0027052
12/30/2021,144.2158063
12/29/2021,159.0816475
12/28/2021,163.3632491
12/27/2021,190.9833979
12/26/2021,214.8352347
12/25/2021,226.7007948
12/24/2021,187.4596047
12/23/2021,161.8347441
12/22/2021,158.7391614
12/21/2021,157.3469468
12/20/2021,159.3342927
12/19/2021,214.6210952
12/18/2021,156.1422543
12/17/2021,170.7860385
12/16/2021,139.1368911
12/15/2021,153.7108267
12/14/2021,160.4568627
12/13/2021,156.973177
12/12/2021,203.2450262
12/11/2021,204.084729
12/10/2021,175.1729715
12/9/2021,178.7508358
12/8/2021,199.7314472
12/7/2021,172.3121099
12/6/2021,186.6153774
12/5/2021,241.8248779
12/4/2021,190.4733642
12/3/2021,205.7030764
12/2/2021,178.8456616
12/1/2021,174.4876393
11/30/2021,166.0377314
11/29/2021,173.0240645
11/28/2021,223.5515253
11/27/2021,204.5677055
11/26/2021,159.2016591
11/25/2021,167.4140163
11/24/2021,190.64313
11/23/2021,169.2754155
11/22/2021,183.8551524
11/21/2021,223.9720435
11/20/2021,216.0448472
11/19/2021,174.4426351
11/18/2021,183.1743858
11/17/2021,194.6741228
11/16/2021,192.2525687
11/15/2021,216.9353226
11/14/2021,287.7066116
11/13/2021,261.1662414
11/12/2021,205.3686303
11/11/2021,221.9649916
11/10/2021,211.1057637
11/9/2021,196.297734
11/8/2021,196.1251104
11/7/2021,265.4693357
11/6/2021,251.3588054
11/5/2021,212.102012
11/4/2021,194.6380539
11/3/2021,222.4826976
11/2/2021,211.3677451
11/1/2021,196.5293205
10/31/2021,246.8003648
10/30/2021,239.5711711
10/29/2021,221.3970065
10/28/2021,197.2873871
10/27/2021,202.2510791
10/26/2021,201.8988702
10/25/2021,261.1680714
10/24/2021,277.4205125
10/23/2021,250.086444
10/22/2021,217.249234
10/21/2021,189.5821644
10/20/2021,211.5823908
10/19/2021,198.0806712
10/18/2021,203.8557295
10/17/2021,285.1349877
10/16/2021,192.2482437
10/15/2021,181.0983889
10/14/2021,179.1997974
10/13/2021,208.3522735
10/12/2021,177.3689419
10/11/2021,188.797931
10/10/2021,262.9989322
10/9/2021,211.7659824
10/8/2021,149.8649949
10/7/2021,151.608402
10/6/2021,164.1197341
10/5/2021,166.625989
10/4/2021,177.1276713
10/3/2021,208.3155468
10/2/2021,218.2599247
10/1/2021,147.5768141
9/30/2021,159.6501431
9/29/2021,142.5834028
9/28/2021,154.0230868
9/27/2021,167.7911933
9/26/2021,194.7286366
9/25/2021,181.9555416
9/24/2021,146.1740188
9/23/2021,171.2841541
9/22/2021,131.1160112
9/21/2021,136.2759398
