Date,HRATE.Value
12/31/2021,179781041
12/30/2021,143583516
12/29/2021,174954704.4
12/28/2021,161682278.5
12/27/2021,178574456.9
12/26/2021,161682278.5
12/25/2021,177149566.8
12/24/2021,181615890.2
12/23/2021,182818644.4
12/22/2021,178007627.5
12/21/2021,193643432.6
12/20/2021,173196610.5
12/19/2021,179210381.7
12/18/2021,153952542.7
12/17/2021,179210381.7
12/16/2021,138316737.6
12/15/2021,169588347.8
12/14/2021,178007627.5
12/13/2021,169588347.8
12/12/2021,168385593.5
12/11/2021,176161777.1
12/10/2021,173208616.6
12/9/2021,180980798.1
12/8/2021,186532356.3
12/7/2021,170987993.3
12/6/2021,190973602.9
12/5/2021,184311733
12/4/2021,172098304.9
12/3/2021,186532356.3
12/2/2021,172098304.9
12/1/2021,152112695.3
11/30/2021,148781760.4
11/29/2021,158774565.2
11/28/2021,155225116.6
11/27/2021,161180737.2
11/26/2021,148782218.9
11/25/2021,146527942.9
11/24/2021,176960669.5
11/23/2021,148782218.9
11/22/2021,158926461.1
11/21/2021,148782218.9
11/20/2021,163435013.2
11/19/2021,154417909.1
11/18/2021,162307875.2
11/17/2021,167943565.3
11/16/2021,169070703.3
11/15/2021,170197841.4
11/14/2021,175094161.9
11/13/2021,164733856.4
11/12/2021,152890245.8
11/11/2021,170117315.7
11/10/2021,160427088.9
11/9/2021,163657164.5
11/8/2021,145353402.7
11/7/2021,164733856.4
11/6/2021,165810548.2
11/5/2021,166887240.1
11/4/2021,153966937.6
11/3/2021,173347391.3
11/2/2021,170117315.7
11/1/2021,159350397
10/31/2021,140175299.1
10/30/2021,154737198.7
10/29/2021,170710070.9
10/28/2021,152740589.7
10/27/2021,156733807.7
10/26/2021,149745676.2
10/25/2021,181691420.4
10/24/2021,152740589.7
10/23/2021,144754153.6
10/22/2021,157732112.3
10/21/2021,147749067.2
10/20/2021,148747371.7
10/19/2021,154737198.7
10/18/2021,146534419.3
10/17/2021,158222181.3
10/16/2021,131522188.2
10/15/2021,139433297.3
10/14/2021,135477742.7
10/13/2021,167122179
10/12/2021,132511076.8
10/11/2021,144377740.4
10/10/2021,157233292.7
10/9/2021,148333295
10/8/2021,118666636
10/7/2021,139433297.3
10/6/2021,129544410.9
10/5/2021,162177735.8
10/4/2021,147411968.4
10/3/2021,141656679.7
10/2/2021,177543038.5
10/1/2021,132212901
9/30/2021,161488614.8
9/29/2021,122769122.4
9/28/2021,143545435.4
9/27/2021,146378569
9/26/2021,131268523.2
9/25/2021,135990412.5
9/24/2021,139767923.9
9/23/2021,155822347.6
9/22/2021,126546633.8
9/21/2021,113928907.4
9/20/2021,150129275.5
9/19/2021,146467585.8
9/18/2021,141890473.8
9/17/2021,134567094.5
9/16/2021,124497447.9
9/15/2021,129989982.4
9/14/2021,153790965.1
9/13/2021,145552163.4
9/12/2021,134567094.5
9/11/2021,135482516.9
9/10/2021,124497447.9
9/9/2021,125412870.4
9/8/2021,129910433.7
9/7/2021,133974150.4
9/6/2021,150611463.2
9/5/2021,143606278.9
9/4/2021,135725446.5
9/3/2021,129595910.2
9/2/2021,130471558.2
9/1/2021,119963781.7
8/31/2021,126093318
8/30/2021,118212485.7
8/29/2021,136601094.5
8/28/2021,123466373.9
8/27/2021,127844614.1
8/26/2021,127844614.1
8/25/2021,130687447.3
8/24/2021,119087832.4
8/23/2021,152339629.8
8/22/2021,126820808.5
8/21/2021,131460594.2
8/20/2021,123727618.1
8/19/2021,119087832.4
8/18/2021,104395177.8
8/17/2021,133007189.5
8/16/2021,124500915.7
8/15/2021,140740165.6
8/14/2021,126820808.5
8/13/2021,108175319.6
8/12/2021,108813934.5
8/11/2021,105931446.2
8/10/2021,118902643.7
8/9/2021,109534556.6
8/8/2021,113858289.1
8/7/2021,120343887.9
8/6/2021,114578911.2
8/5/2021,115299533.3
8/4/2021,98004603.3
8/3/2021,121785132
8/2/2021,103048957.9
8/1/2021,110975800.8
7/31/2021,112465862.1
7/30/2021,112824945.7
7/29/2021,108746935.7
7/28/2021,106707930.6
7/27/2021,115543619.1
7/26/2021,101950252.2
7/25/2021,103989257.2
7/24/2021,104668925.6
7/23/2021,91755226.96
7/22/2021,103989257.2
7/21/2021,98551910.44
7/20/2021,82919538.44
7/19/2021,115543619.1
7/18/2021,97872242.09
7/17/2021,101997588.1
7/16/2021,107098481.8
7/15/2021,91390704.5
7/14/2021,121378279.4
7/13/2021,97102623.54
7/12/2021,89962724.75
7/11/2021,89248734.87
7/10/2021,114952370.5
7/9/2021,93532674.14
7/8/2021,99244593.17
7/7/2021,87820755.11
7/6/2021,101386562.8
7/5/2021,94246664.02
7/4/2021,82108836.08
7/3/2021,98706076.21
7/2/2021,89177797.48
7/1/2021,94132119.56
6/30/2021,88186933.06
6/29/2021,89177797.48
6/28/2021,86205204.23
6/27/2021,58461000.57
6/26/2021,88186933.06
6/25/2021,108995085.8
6/24/2021,104040763.7
6/23/2021,100077306.1
6/22/2021,90168661.9
6/21/2021,104040763.7
6/20/2021,104040763.7
6/19/2021,102059034.9
6/18/2021,122867187.6
6/17/2021,128812374.1
6/16/2021,121876323.2
6/15/2021,129803238.6
6/14/2021,133766696.2
6/13/2021,136724465.1
6/12/2021,138110063.8
6/11/2021,109860278
6/10/2021,123462026.7
6/9/2021,131832333.6
6/8/2021,155896965.9
6/7/2021,139156352.1
6/6/2021,156943254.3
6/5/2021,137063775.4
6/4/2021,137063775.4
6/3/2021,153804389.2
6/2/2021,173683868.1
6/1/2021,148572947.4
5/31/2021,147526659
5/30/2021,151858199.8
5/29/2021,144427847.6
5/28/2021,148163050.5
5/27/2021,145672915.2
5/26/2021,151898253.5
5/25/2021,153143321.1
5/24/2021,156878524.1
5/23/2021,148163050.5
5/22/2021,144427847.6
5/21/2021,136957441.7
5/20/2021,139447577
5/19/2021,155633456.4
5/18/2021,124506765.1
5/17/2021,150653185.8
5/16/2021,164348930
5/15/2021,153143321.1
5/14/2021,166839065.3
5/13/2021,185896531.3
5/12/2021,176209059.9
5/11/2021,176209059.9
5/10/2021,184404830.1
5/9/2021,190551657.8
5/8/2021,175184588.6
5/7/2021,176209059.9
5/6/2021,174160117.3
5/5/2021,160841990.7
5/4/2021,185429301.4
5/3/2021,181331416.3
5/2/2021,189527186.5
5/1/2021,158954590
4/30/2021,169978665.1
4/29/2021,143016532
4/28/2021,166461865.1
4/27/2021,166461865.1
4/26/2021,133638398.8
4/25/2021,165289598.5
4/24/2021,169978665.1
4/23/2021,158255998.6
4/22/2021,167634131.8
4/21/2021,118398932.3
4/20/2021,150050132
4/19/2021,113709865.6
4/18/2021,145361065.3
4/17/2021,106676265.7
4/16/2021,120743465.6
4/15/2021,198514005.7
4/14/2021,155272729.2
4/13/2021,163323907.7
4/12/2021,165624244.5
4/11/2021,166774412.8
4/10/2021,180576433.2
4/9/2021,174825591.4
4/8/2021,154122560.8
4/7/2021,180576433.2
4/6/2021,165624244.5
4/5/2021,179426264.8
4/4/2021,167924581.2
4/3/2021,150672055.7
4/2/2021,160517766.4
4/1/2021,157606704
3/31/2021,170650017.4
3/30/2021,158693646.8
3/29/2021,164128360.7
3/28/2021,172823903
3/27/2021,172823903
3/26/2021,147824218.9
3/25/2021,167389189
3/24/2021,165215303.5
3/23/2021,174997788.5
3/22/2021,164128360.7
3/21/2021,169563074.6
3/20/2021,167389189
3/19/2021,158357615.4
3/18/2021,162062349.9
3/17/2021,145003155.2
3/16/2021,158863750.9
3/15/2021,157797551.2
3/14/2021,167393348.3
3/13/2021,152466552.9
3/12/2021,159929950.6
3/11/2021,140738356.5
3/10/2021,158863750.9
3/9/2021,149267953.9
3/8/2021,165260948.9
