Date,Annual Hash Growth,Block Height,Block Interval,Block Size,Blockchain Size,Daily Blocks,Chain Value Density,Daily Transactions,Difficulty,Fee Percentage,Fee Rate,Two-Week Hash Growth,Hash Rate,Inflation Rate,Market Capitalization,Metcalfe's Law - TX,Metcalfe's Law - UTXO,Miner Revenue Value,Miner Revenue,Money Supply,Output Value,Output Volume,Price Volatility,Bitcoin Core (BTC) Price,Quarterly Hash Growth,Total Transactions,Transaction Amount,Fees Value,Transaction Fees,Transaction Size,Transaction Value,Transactions per Block,Avg. UTXO Amount,Avg. UTXO Value,Velocity - Daily,Velocity - Quarterly,Velocity of Money
2015-01-01,2884.59,336865,567,265887,28565224287,152,159365.58,75981,40640955017,0.00118685,28,11.1225,311368.24081399944,12.0154,4341424518.75,8.56,2.77,1210245.95,3811.19807656,13671625.0,299608345.2,943499.74870787,36.42073907603531,317.55,28.9469,55480699,12.57691244,3555.95,11.19807656,579,3993.8,500,0.8583,272.55,0.0690124,6.02809,19.2134
2015-01-02,2963.58,337030,525,190803,28596706708,165,158210.17,60342,40640955017,0.00170835,26,14.734,314716.19559719256,12.0185,4314699125.0,10.94,2.75,1304023.68,4133.19708968,13675750.0,151381901.36,479815.85218105,36.197279667794,315.5,28.7583,55541041,8.73664611,2586.18,8.19708968,543,2756.41,366,0.8578,270.64,0.0350858,6.00811,19.2044
2015-01-03,2988.86,337195,525,275957,28642239694,165,157515.51,83215,40640955017,0.00165245,27,17.282,319745.3945057814,12.0154,4302594285.0,7.68,2.73,1301276.11,4137.33977385,13679875.0,234866080.64,746744.5015978,36.14306229637253,314.52,28.2332,55624256,10.31920416,3881.11,12.33977385,573,3245.6,504,0.8558,269.17,0.054588,6.01388,19.1989
2015-01-04,2980.75,337357,526,292996,28689705013,162,143937.95,81566,40640955017,0.00131521,25,20.548,323908.76220069843,12.0162,3938233615.0,7.18,2.49,1168953.49,4061.68691488,13683925.0,255734231.79,888583.15424209,46.201801481517336,287.8,25.0871,55705822,12.90732982,3363.49,11.68691488,658,3714.73,503,0.8526,245.38,0.0649371,6.00944,19.1947
2015-01-05,2852.2,337529,498,274680,28736949981,172,134006.87,82941,40640955017,0.00202953,46,22.8029,326194.7089192335,12.0071,3672550767.5,6.58,2.31,1159478.11,4321.57327749,13688225.0,285189334.89,1062949.44050463,50.42746696190016,268.3,23.1601,55788763,14.79609078,5788.11,21.57327749,590,3969.79,482,0.8507,228.24,0.0776559,6.00162,19.2191
2015-01-06,2735.28,337685,552,362893,28793561346,156,135990.41,95877,40640955017,0.00140204,28,19.7942,325263.9259360158,11.9964,3734253251.25,5.71,2.35,1068010.62,3915.99976518,13692125.0,311229650.99,1141163.97533774,51.20546220430439,272.73,25.0162,55884640,14.17979969,4363.62,15.99976518,615,3867.26,615,0.8505,231.96,0.0833457,6.02266,19.2301
2015-01-07,2684.6,337843,546,317792,28843772452,158,141050.69,89006,40640955017,0.00109445,26,19.4956,326129.7571496875,11.9882,3879961086.75,6.43,2.44,1122681.43,3963.0111396,13696075.0,336779310.11,1188814.67792987,53.84287021682394,283.29,26.6672,55973646,17.88096065,3685.93,13.0111396,608,5065.5,563,0.8508,241.02,0.0868006,6.04136,19.2385
2015-01-08,2603.11,337983,604,345553,28892149891,140,145593.74,92709,40640955017,0.0010457,28,15.268,322666.4322950006,11.9727,4011646547.25,6.36,2.52,1028803.07,3513.31170565,13699575.0,372766512.01,1272979.24397891,55.41846104484375,292.83,23.9644,56066355,16.87449903,3898.07,13.31170565,569,4941.36,662,0.851,249.2,0.092922,6.06241,19.2584
2015-01-09,2405.26,338130,583,393142,28949941750,147,141649.34,105758,40640955017,0.00115034,28,10.2128,317471.4450129702,11.9553,3910770517.5,5.37,2.46,1053380.74,3691.02188773,13703250.0,397486869.27,1392784.85324563,54.91972424768375,285.39,20.7665,56172113,14.98813884,4572.49,16.02188773,613,4277.46,719,0.8505,242.72,0.10164,6.0906,19.2988
2015-01-10,2298.74,338270,616,400166,29005965059,140,142705.13,100537,40640955017,0.00119828,27,6.15895,310256.18489903904,11.9412,3947544000.0,5.73,2.48,1012358.36,3515.13320827,13706750.0,363715000.23,1262899.30636686,55.09999046700687,288.0,18.978,56272650,16.15821497,4358.36,15.13320827,622,4653.57,718,0.8491,244.54,0.0921381,6.1386,19.342
2015-01-11,2144.65,338417,577,402864,29065186137,147,137743.7,106489,40640955017,0.00159099,26,2.90179,305927.0288306804,11.9232,3818079154.0,5.2,2.38,1027705.54,3690.4105739,13710425.0,269736123.79,968601.42124916,55.713560598830526,278.48,19.5228,56379139,9.27643281,4291.54,15.4105739,602,2583.3,724,0.8444,235.15,0.0706482,6.17272,19.3668
2015-01-12,2086.03,338572,549,332664,29116749014,155,132688.62,89906,40640955017,0.00107275,26,-2.16046,301020.65195320715,11.9076,3684483838.0,6.03,2.29,1044598.98,3888.18200571,13714300.0,330127329.5,1228792.26346037,56.37829045292221,268.66,18.1142,56469045,14.20815547,3541.48,13.18200571,599,3817.16,580,0.842,226.21,0.0896003,6.20451,19.4196
2015-01-13,2038.51,338714,603,395134,29172858009,142,131969.7,100893,43971662056,0.00320334,59,-2.38207,300338.819001573,11.898,3671582552.5,5.3,2.28,959021.03,3583.11612285,13717850.0,276687923.95,1033767.69641489,56.40363705365018,267.65,17.9265,56569938,10.82192749,8863.53,33.11612285,582,2896.49,711,0.842,225.36,0.0753617,6.21249,19.4605
2015-01-14,1955.83,338841,681,458298,29231061880,127,115622.77,98367,43971662056,0.000853294,26,-5.14718,294395.81557611004,11.8869,3223205982.75,4.78,2.0,749390.14,3190.11597283,13721025.0,416135783.5,1771469.00302265,70.23867473545201,234.91,14.6527,56668305,19.56683828,3550.89,15.11597283,650,4596.45,775,0.8428,197.98,0.129107,6.25377,19.5457
2015-01-15,1933.87,338986,586,428812,29293239682,145,91664.01,107138,43971662056,0.000639628,25,-3.88598,299268.53903033474,11.8745,2560745197.0,3.46,1.59,679267.38,3640.62269978,13724650.0,455712826.56,2442452.70962436,103.24682402775512,186.58,16.5504,56775443,26.21085415,2914.88,15.62269978,670,4890.42,739,0.843,157.29,0.177962,6.35333,19.6655
2015-01-16,1929.31,339137,567,419382,29356566335,151,101131.92,119812,43971662056,0.000673331,27,-3.40676,303994.56951854454,11.8631,2831350372.0,3.39,1.75,782086.33,3792.11757064,13728425.0,524304392.74,2542205.1626193,111.05711651402014,206.24,19.8999,56895255,21.21228776,3530.33,17.11757064,583,4374.82,793,0.8419,173.63,0.185179,6.47144,19.8004
2015-01-17,1942.79,339276,615,396044,29411616437,139,102280.22,104881,43971662056,0.000745034,26,-3.98807,306993.7131068835,11.8568,2868868548.0,3.97,1.77,729041.4,3489.57208331,13731900.0,408622718.73,1955881.28819533,111.40404278123827,208.92,18.7543,57000136,20.12302047,3044.4,14.57208331,570,4204.1,755,0.8403,175.56,0.142434,6.56858,19.895
2015-01-18,1934.25,339414,626,383297,29464511442,138,98377.97,88554,43971662056,0.00121095,25,-5.01636,307660.3205523408,11.8452,2764376541.0,4.59,1.7,696993.46,3463.14946231,13735350.0,218541187.01,1085864.9856585,111.58585129630316,201.26,20.7538,57088690,12.77800403,2646.46,13.14946231,650,2571.7,642,0.8354,168.13,0.0790572,6.61261,19.938
2015-01-19,1945.9,339567,556,322728,29513888879,153,101857.77,83918,43971662056,0.0014141,28,-4.74953,310701.9944260545,11.8379,2866953647.25,5.05,1.75,801067.11,3838.91845739,13739175.0,205383355.48,984249.55903689,112.7384386509354,208.67,24.1274,57172608,11.78832217,2904.36,13.91845739,621,2459.87,548,0.833,173.82,0.0716392,6.62207,19.9786
2015-01-20,1906.36,339711,594,406057,29572361153,144,104134.08,99152,43971662056,0.00142145,25,-4.28495,311326.5210480164,11.8228,2936831017.5,4.31,1.79,772410.92,3614.46383358,13742775.0,217445839.99,1017528.49782566,112.1956406688774,213.7,21.8361,57271760,11.40207528,3090.92,14.46383358,709,2436.62,689,0.8328,177.97,0.074042,6.65241,20.0057
2015-01-21,1881.76,339829,726,462435,29626928424,118,102490.5,100300,43971662056,0.00102634,27,-5.4008,308516.1512491877,11.8091,2895811885.75,4.2,1.77,624559.04,2964.63209011,13745725.0,300341083.2,1425647.14101997,112.1955131428971,210.67,19.804,57372060,15.80696514,3082.54,14.63209011,595,3330.05,850,0.8321,175.3,0.103717,6.69234,20.0489
2015-01-22,1876.87,339978,574,335909,29676978910,149,108320.83,93417,43971662056,0.000920627,26,-3.99832,309765.2044931115,11.7957,3065714866.5,4.8,1.87,833421.05,3737.81696748,13749450.0,310416082.67,1392187.66053164,114.21326813222956,222.97,19.4541,57465477,17.30533612,2857.8,12.81696748,572,3858.57,627,0.8321,185.53,0.101255,6.71291,20.0997
2015-01-23,1857.69,340113,627,407537,29731996424,135,112982.67,95623,43971662056,0.0011275,25,-4.00113,304768.9915174162,11.783,3203583055.5,4.89,1.95,789369.52,3388.72463626,13752825.0,283546852.61,1217252.73724591,115.56379701183631,232.94,15.1579,57561100,12.9616723,3197.02,13.72463626,646,3019.29,708,0.8329,194.02,0.0885103,6.74117,20.1477
2015-01-24,1709.85,340237,696,397331,29781265521,124,112041.4,94202,43971662056,0.00134531,28,-3.2783,300085.0418527018,11.7652,3182158130.25,4.94,1.94,720349.53,3113.94772383,13755925.0,239831353.61,1036749.89670674,115.4318239400323,231.33,13.885,57655302,11.60008172,3226.53,13.94772383,576,2683.45,760,0.8322,192.51,0.0753685,6.75646,20.182
2015-01-25,1649.34,340363,684,361301,29826789495,126,117632.78,80759,43971662056,0.000947048,24,-3.13446,296337.8821209303,11.7534,3346069449.25,6.14,2.04,768759.03,3161.14573254,13759075.0,286205540.26,1176880.38264768,117.35812046990485,243.19,12.9412,57736061,12.92448616,2710.53,11.14573254,617,3143.11,641,0.832,202.33,0.0855357,6.77703,20.2073
2015-01-26,1575.92,340488,678,453766,29883510252,125,121676.02,85954,43971662056,0.00141721,23,-4.46021,287594.5094134635,11.7443,3467661534.0,5.94,2.09,790743.33,3138.24394967,13762200.0,235464173.55,934492.89022341,117.95266480084648,251.97,6.92792,57822015,11.66396608,3337.08,13.24394967,776,2938.97,688,0.8256,208.03,0.0679038,6.76473,20.2387
2015-01-27,1522.98,340615,683,495645,29946457134,127,133960.86,108022,43971662056,0.000752128,25,-6.01081,282286.0331267872,11.7306,3825810673.75,5.11,2.31,886880.18,3191.0199841,13765375.0,591973459.52,2129937.24866307,123.48172405739128,277.93,6.04441,57930037,20.98052247,4452.43,16.0199841,661,5831.12,851,0.8262,229.63,0.154733,6.85693,20.3596
2015-01-28,1534.99,340764,583,380240,30003112966,149,126477.74,99414,41272873895,0.00122406,25,-1.79529,289110.5578262929,11.7259,3618932553.0,5.29,2.18,982718.43,3738.98880719,13769100.0,300364773.79,1142810.08175711,124.77662269535357,262.83,8.57227,58029451,11.49313638,3676.68,13.98880719,636,3020.74,667,0.8266,217.26,0.0829992,6.87976,20.3704
2015-01-29,1550.41,340928,524,272951,30047876905,164,115123.18,85251,41272873895,0.00123736,26,-2.8794,290651.3892204821,11.7247,3298956864.0,5.7,1.99,984809.29,4111.59524688,13773200.0,224449485.85,937080.35172843,128.39203107170974,239.52,7.19628,58114702,9.3171066,2777.29,11.59524688,548,2231.63,520,0.8274,198.18,0.0680373,6.89456,20.3873
2015-01-30,1538.16,341092,526,289398,30095338205,164,111169.23,92448,41272873895,0.00125996,26,-2.44434,296563.90696840483,11.7181,3190684907.0,5.04,1.92,952414.31,4112.50188755,13777300.0,229790462.5,992229.64075593,128.6797534840605,231.59,6.46687,58207150,11.43142996,2895.31,12.50188755,537,2647.4,564,0.8265,191.41,0.0720201,6.87176,20.4181
2015-01-31,1554.82,341230,621,309094,30137993128,138,110243.78,79874,41272873895,0.00124397,26,-2.83489,298290.7742896231,11.7044,3168607847.5,5.87,1.91,795787.26,3460.99797737,13780750.0,203279383.31,884092.47730469,128.21524211167613,229.93,6.69527,58287024,10.19436477,2528.76,10.99797737,562,2343.99,579,0.8256,189.83,0.064155,6.87928,20.4389
2015-02-01,1571.79,341396,520,313585,30190048209,166,105351.66,86797,41272873895,0.00158316,24,-0.0196525,307599.8577477201,11.6953,3033229396.0,5.13,1.82,915933.55,4162.57748445,13784900.0,174809444.73,794443.9407691,128.7233486555773,220.04,7.08842,58373821,8.80094487,2767.55,12.57748445,628,1936.56,523,0.8216,180.78,0.0576324,6.89965,20.4615
2015-02-02,1558.8,341551,555,299110,30236410333,155,107027.22,78312,41272873895,0.00151657,24,1.06054,313997.12700439646,11.6846,3086203620.5,5.84,1.84,869792.89,3886.12675333,13788775.0,164210040.44,733670.09401113,129.08989860606437,223.82,8.35159,58452133,10.11167022,2490.39,11.12675333,596,2263.19,505,0.8195,183.42,0.0532086,6.87321,20.4751
2015-02-03,1585.78,341710,544,312260,30286059717,159,112417.24,87349,41272873895,0.00123601,26,3.08864,320942.26146180235,11.6759,3246951277.5,5.45,1.94,938735.67,3987.66267626,13792750.0,241170047.5,1024468.15131925,127.70716591019142,235.41,8.45287,58539482,12.7543759,2980.92,12.66267626,594,3002.51,549,0.8197,192.97,0.0742768,6.86161,20.5092
2015-02-04,1527.93,341837,677,403597,30337316565,127,110145.5,91505,41272873895,0.00101434,25,1.93765,314494.10643699905,11.6627,3186720715.75,5.09,1.9,736403.53,3188.03209706,13795925.0,296769607.7,1284772.53432132,125.73831670545252,230.99,6.56151,58630987,13.82872861,3010.28,13.03209706,608,3194.3,721,0.8195,189.3,0.0931279,6.88453,20.5621
2015-02-05,1459.06,341996,543,304819,30385782807,159,107825.18,89049,41272873895,0.00104101,25,1.05351,313028.6166586346,11.6569,3124573358.0,5.14,1.86,902809.54,3987.32242544,13799900.0,268009142.85,1183681.40115515,125.60016041209644,226.42,6.11243,58720036,12.77707212,2790.04,12.32242544,561,2892.98,560,0.8189,185.42,0.0857755,6.91239,20.5857
2015-02-06,1403.39,342155,538,301973,30433796480,159,103862.23,87707,41272873895,0.000977738,26,2.22927,311563.1268802703,11.648,3014490222.5,5.04,1.79,870734.89,3987.24651138,13803875.0,273525948.96,1252522.89109283,124.9778068422972,218.38,7.75504,58807743,13.12746812,2674.39,12.24651138,557,2866.78,552,0.8195,178.96,0.0907379,6.94175,20.6082
2015-02-07,1457.13,342332,489,258793,30479602832,177,105098.01,84886,41272873895,0.00124713,25,7.63414,322993.94715151255,11.6488,3054948292.0,5.29,1.81,981552.3,4436.59509943,13808300.0,205694241.08,929733.50695478,124.32650860278736,221.24,10.7897,58892629,10.65113112,2565.3,11.59509943,553,2356.46,480,0.8174,180.84,0.0673323,6.9654,20.6257
2015-02-08,1414.85,342491,544,285232,30524954761,159,108094.09,85927,41272873895,0.00185222,26,8.30281,320942.2614618024,11.6398,3146712490.5,5.37,1.87,908272.94,3986.80071189,13812275.0,145144461.46,637101.49005633,124.89434105889622,227.82,9.12164,58978556,7.57915406,2688.44,11.80071189,536,1726.68,540,0.8174,186.22,0.0461266,6.97025,20.6012
2015-02-09,1406.41,342623,650,409999,30579074654,132,106284.67,83439,41272873895,0.0018688,22,9.25139,314201.0084813262,11.6354,3099524251.25,5.46,1.82,743013.67,3311.85052659,13815575.0,142263627.56,634114.67598361,124.7761223547575,224.35,7.50405,59061995,7.49279887,2658.67,11.85052659,829,1681.01,632,0.8107,181.88,0.0458994,6.94619,20.6028
2015-02-10,1420.53,342784,538,369962,30638638460,161,104160.34,105056,44455415962,0.00171172,25,12.8026,318425.9199506108,11.6327,3043490508.0,4.17,1.79,889721.06,4039.96304105,13819600.0,192510944.26,874135.87733225,124.50201875085676,220.23,10.8917,59167051,8.73657959,3295.31,14.96304105,602,1924.06,653,0.8111,178.63,0.0632544,6.95785,20.6246
2015-02-11,1432.54,342928,598,390984,30694940195,144,103377.77,102246,44455415962,0.0017111,25,12.989,326663.0885532186,11.6248,3026174944.0,4.27,1.78,791217.79,3614.18685974,13823200.0,181504894.09,829092.33549621,124.08951171712424,218.92,12.7663,59269297,8.61361821,3105.79,14.18685974,586,1885.69,710,0.811,177.54,0.0599793,6.93024,20.6213
2015-02-12,1434.52,343086,544,353265,30750756117,158,103544.94,98718,44455415962,0.0016672,26,13.5177,329940.9040022309,11.6166,3036580411.5,4.45,1.78,870685.03,3964.68754513,13827150.0,193466463.18,880954.7068786,124.13437870725222,219.61,14.9018,59368015,9.23290572,3225.53,14.68754513,591,2027.64,625,0.8108,178.06,0.063713,6.87818,20.6295
2015-02-13,1397.69,343205,697,423162,30801112409,119,103864.02,88377,44455415962,0.00169966,25,8.2082,320906.4711877053,11.6005,3050925575.0,5.05,1.78,659078.21,2987.66188486,13830125.0,164336790.67,744953.72018072,115.8308096686876,220.6,11.3195,59456392,8.32296708,2793.21,12.66188486,602,1836.05,743,0.8074,178.11,0.0538655,6.86084,20.6349
2015-02-14,1326.08,343351,584,512476,30875933853,146,109310.26,113935,44455415962,0.0017077,23,5.64193,315120.1393535173,11.587,3218704429.25,4.04,1.86,853334.25,3667.57319217,13833775.0,239426111.86,1029037.3140664,83.11500124768786,232.67,10.7165,59570327,9.64306205,4088.75,17.57319217,732,2243.65,780,0.7986,185.81,0.0743871,6.8766,20.6564
2015-02-15,1337.71,343511,527,418558,30942903183,160,117813.19,100639,44455415962,0.00207115,23,3.7157,319029.35214937787,11.5772,3476602591.0,4.99,2.01,1008809.3,4015.32120238,13837775.0,185849141.42,739727.51721103,80.17540960500313,251.24,12.0899,59670966,7.43191626,3849.3,15.32120238,730,1867.19,629,0.7995,200.87,0.0534582,6.87495,20.6516
2015-02-16,1254.79,343651,619,462761,31007689702,140,113215.68,82240,44455415962,0.00189556,21,3.35707,324538.236279925,11.5616,3347927597.0,5.98,1.92,849809.86,3513.35316022,13841275.0,170387674.43,704430.60372841,81.62072289698027,241.88,14.3645,59753206,9.23684232,3229.86,13.35316022,974,2234.21,587,0.7941,192.08,0.0508944,6.86446,20.6282
2015-02-17,1219.73,343808,532,404780,31071240164,157,109848.26,103609,44455415962,0.00210653,24,0.726978,323275.4415862287,11.5583,3255006520.0,4.52,1.86,926329.54,3940.15115571,13845200.0,169091278.6,719231.29989171,81.097224240081,235.1,10.8748,59856815,6.98135889,3562.04,15.15115571,651,1641.32,660,0.7922,186.25,0.0519492,6.84311,20.6292
2015-02-18,1196.04,343957,567,451624,31138532199,149,112648.36,104223,44455415962,0.00200607,24,3.29412,324853.93495334906,11.5517,3345207833.75,4.62,1.9,903673.21,3741.14348698,13848925.0,194378974.96,804715.27615757,80.72130635189677,241.55,11.7959,59961038,7.9792807,3899.46,16.14348698,676,1927.4,699,0.7883,190.41,0.0581079,6.82851,20.6458
2015-02-19,1150.91,344124,513,352799,31197449695,167,110458.06,104124,44455415962,0.00175363,25,4.68539,327695.22301416553,11.5404,3286370913.0,4.54,1.86,993921.39,4189.69517531,13853100.0,198792358.79,837973.10116302,80.80568429433237,237.23,13.2751,60065162,8.1917546,3486.14,14.69517531,570,1943.33,623,0.7883,187.01,0.060491,6.81497,20.6645
2015-02-20,1177.32,344290,518,315134,31249761939,166,111329.13,93881,44455415962,0.00191383,26,9.94018,342533.060665096,11.5341,3317841367.5,5.13,1.88,996868.63,4163.50763762,13857250.0,168984410.55,705777.93322918,80.57102957381115,239.43,21.3254,60159043,7.63163769,3234.13,13.50763762,579,1827.24,566,0.7882,188.72,0.050933,6.7696,20.6751
2015-02-21,1200.05,344448,547,384270,31310476610,158,112922.83,99386,44455415962,0.00190263,25,7.22227,346321.4447461846,11.5318,3371875512.0,4.9,1.91,964578.39,3965.21578848,13861200.0,194536915.49,799707.78380875,78.45383089455348,243.26,20.659,60258429,7.31495337,3701.39,15.21578848,672,1779.44,629,0.7895,192.05,0.0576951,6.76918,20.687
2015-02-22,1154.27,344590,607,403625,31367791418,142,113301.54,88320,44455415962,0.0021385,23,6.13712,340638.86862455163,11.52,3389376785.0,5.6,1.92,871006.52,3562.98177024,13864750.0,148396079.75,607036.24213938,77.06660027907942,244.46,19.3226,60346749,7.67479563,3173.52,12.98177024,775,1876.18,622,0.7873,192.46,0.0437836,6.7668,20.6887
2015-02-23,1204.68,344741,565,357737,31421809692,151,109962.71,84779,46684376317,0.0026492,23,10.2803,346501.71621169645,11.5127,3295161540.0,5.69,1.86,899889.07,3787.41192904,13868525.0,111316568.55,468504.07639054,77.72997160991203,237.6,20.7122,60431528,5.52823018,2949.07,12.41192904,696,1313.51,561,0.7851,186.54,0.0337827,6.74052,20.6885
2015-02-24,1157.43,344883,604,413581,31480538263,142,109660.91,104654,46684376317,0.00170299,25,8.03578,344013.9382923635,11.4984,3292259559.75,4.52,1.85,846044.84,3564.84573761,13872075.0,206887265.44,871728.24945995,75.68347682709827,237.33,22.5331,60536182,8.07547394,3523.34,14.84573761,584,1916.55,737,0.7844,186.16,0.0628416,6.73436,20.7163
2015-02-25,1143.84,345012,665,428245,31535781845,129,109803.36,103282,46684376317,0.00201785,26,4.00376,339741.8914540344,11.4883,3302321400.0,4.6,1.86,770932.57,3239.21248871,13875300.0,167629142.09,704324.12640781,74.56213736388332,238.0,21.5069,60639464,6.71226127,3382.57,14.21248871,561,1597.52,801,0.7845,186.71,0.050762,6.70688,20.7061
2015-02-26,1160.21,345171,544,348569,31591204308,159,109158.42,103414,46684376317,0.00183236,27,2.96786,339733.0953549688,11.479,3288694211.25,4.57,1.85,945419.31,3989.95277841,13879275.0,193357267.94,816025.60851144,65.25811960507266,236.95,21.1318,60742878,7.87833282,3543.06,14.95277841,573,1866.77,650,0.7847,185.93,0.0587956,6.69293,20.6812
