#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
01/01/2015,177.88,0.16109,1.2104,#N/A,#N/A,#N/A,#N/A,328.2,53.27
02/01/2015,177.94,0.16112,1.2002,#N/A,#N/A,#N/A,#N/A,327.6,52.69
05/01/2015,174.84,0.16072,1.1933,#N/A,#N/A,#N/A,#N/A,325.6,50.04
06/01/2015,173.39,0.16088,1.189,#N/A,#N/A,#N/A,#N/A,317.4,47.93
07/01/2015,175.59,0.16099,1.1839,#N/A,#N/A,#N/A,#N/A,322.7,48.65
08/01/2015,178.76,0.16099,1.1793,#N/A,#N/A,#N/A,#N/A,320.2,48.79
09/01/2015,177.22,0.16101,1.1842,#N/A,#N/A,#N/A,#N/A,319,48.36
12/01/2015,176.24,0.16118,1.1834,#N/A,#N/A,#N/A,#N/A,316.8,46.07
13/01/2015,175.98,0.16142,1.1773,#N/A,#N/A,#N/A,#N/A,315.2,45.89
14/01/2015,174.06,0.16142,1.1789,#N/A,#N/A,#N/A,#N/A,315,48.576
15/01/2015,173.06,0.16167,1.1633,#N/A,#N/A,#N/A,#N/A,314.5,46.442
16/01/2015,174.67,0.16114,1.1567,#N/A,#N/A,#N/A,#N/A,311.9,48.954
19/01/2015,174.67,0.16075,1.1606,#N/A,#N/A,#N/A,#N/A,311.9,48.954
20/01/2015,174.9,0.16085,1.155,#N/A,#N/A,#N/A,#N/A,302.9,46.454
21/01/2015,175.35,0.16108,1.161,#N/A,#N/A,#N/A,#N/A,308.7,47.78
22/01/2015,177.92,0.16118,1.1366,#N/A,#N/A,#N/A,#N/A,305.8,46.31
23/01/2015,176.41,0.16047,1.1204,#N/A,#N/A,#N/A,#N/A,311.5,45.59
26/01/2015,176.5,0.15994,1.1238,#N/A,#N/A,#N/A,#N/A,316.3,45.15
27/01/2015,173.59,0.16025,1.1381,#N/A,#N/A,#N/A,#N/A,311.7,46.23
28/01/2015,171.72,0.1601,1.1287,#N/A,#N/A,#N/A,#N/A,315.5,44.45
29/01/2015,173.9,0.16003,1.132,#N/A,#N/A,#N/A,#N/A,321.8,44.53
30/01/2015,171.45,0.15989,1.1291,#N/A,#N/A,#N/A,#N/A,321.8,48.24
02/02/2015,173.27,0.15978,1.1341,#N/A,#N/A,#N/A,#N/A,312.2,49.57
03/02/2015,176.33,0.15974,1.1481,#N/A,#N/A,#N/A,#N/A,313.7,53.05
04/02/2015,176.53,0.16006,1.1345,#N/A,#N/A,#N/A,#N/A,309.6,48.45
05/02/2015,178.55,0.15996,1.1477,#N/A,#N/A,#N/A,#N/A,311.9,50.48
06/02/2015,178.09,0.16014,1.1316,#N/A,#N/A,#N/A,#N/A,315.5,51.69
09/02/2015,177.09,0.15999,1.1325,#N/A,#N/A,#N/A,#N/A,320.8,52.86
10/02/2015,178.51,0.16025,1.1321,#N/A,#N/A,#N/A,#N/A,317.8,50.02
11/02/2015,178.7,0.16017,1.1336,#N/A,#N/A,#N/A,#N/A,313.8,48.84
