,Annual.Hash.Growth,Block.Height,Block.Interval,Block.Size,Daily.Transactions,Difficulty,Fee.Percentage,Fee.Rate,Two.Week.Hash.Growth,Hash.Rate,Inflation.Rate,Price.Volatility,Bitcoin.Core..BTC..Price,Quarterly.Hash.Growth,Total.Transactions,Transaction.Size,Avg..UTXO.Amount,Velocity...Daily,Velocity...Quarterly,Velocity.of.Money,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,SHCOMP.Index,TWSE.Index,ADS_Index,Google.trends,Lumber.prices,WTI.Oil,Sentiment.Score,label,std_BTC_returns
02/01/2015,0.027383441,0.00048981,-0.074074074,-0.28239064,-0.205827773,0,0.439398408,-0.071428571,0.32470218,0.010752397,0.000258002,-0.006135499,-0.006455676,-0.006515378,0.001087621,-0.062176166,-0.000582547,-0.491601509,-0.003314483,-0.000468423,0.000337306,0.000186231,-0.008426966,0.0304679,0,0,0.069414622,0.02,-0.001828154,-0.010887929,0.0001,-0.310618067,0
03/01/2015,0.008530224,0.000489571,0,0.446292773,0.379056047,0,-0.032721632,0.038461538,0.172933351,0.015980108,-0.000257936,-0.00149783,-0.003106181,-0.018259077,0.001498261,0.055248619,-0.002331546,0.555843105,0.000960369,-0.000286393,0,0,0,0,0,0,0,0.098039216,0,0,0.0001,-8.495485184,0
04/01/2015,-0.002713409,0.000480434,0.001904762,0.061745127,-0.019816139,0,-0.204084844,-0.074074074,0.188982757,0.013020884,6.66E-05,0.278303457,-0.084954852,-0.11143264,0.001466375,0.148342059,-0.003739191,0.189585623,-0.000738292,-0.000218763,0,0,0,0,0,0,0,0.232142857,0,0,0.0001,-6.775538568,0
05/01/2015,-0.04312673,0.000509846,-0.053231939,-0.062512799,0.016857514,0,0.543122391,0.84,0.109738174,0.007057378,-0.000757311,0.091461054,-0.067755386,-0.076812386,0.001488911,-0.103343465,-0.002228478,0.195863382,-0.001301286,0.001271184,-0.017421603,-0.002482622,-0.005749042,0.026399155,0.03581222,-0.003561736,0.17469663,-0.028985507,-0.006105006,-0.050294173,0.0001,1.651136787,0
06/01/2015,-0.040992918,0.000462183,0.108433735,0.321148245,0.155966289,0,-0.309179958,-0.391304348,-0.131943744,-0.002853458,-0.000891139,0.015428006,0.016511368,0.080142141,0.001718572,0.042372881,-0.000235101,0.073269385,0.00350572,0.000572347,-0.008293297,0.00099552,-0.003603453,0.052983539,0.000276674,-0.024344115,0.043716622,0.104477612,-0.025184275,-0.042166267,0.2023,3.87196128,4.439265322
07/01/2015,-0.018528268,0.000467892,-0.010869565,-0.124281813,-0.071664737,0,-0.219387464,-0.071428571,-0.015085227,0.002661934,-0.000683538,0.051506381,0.038719613,0.065997234,0.001592674,-0.011382114,0.000352734,0.041452648,0.00310494,0.000436815,0.01268816,0.000683739,-0.004289319,-0.018563752,0.006715907,0.003508931,0.039075043,-0.27027027,0.016698173,0.015021907,0.0001,3.367573864,5.377293728
08/01/2015,-0.030354615,0.000414394,0.106227106,0.087355881,0.041603937,0,-0.044542921,0.076923077,-0.21684893,-0.010619469,-0.001292938,0.029262757,0.033675739,-0.101352973,0.001656297,-0.064144737,0.000235073,0.070522554,0.003484315,0.001034384,0.01805342,0,-0.003885463,-0.014932802,-0.023858654,0.017394101,0.034911131,0.111111111,-0.007747134,0.002877698,0.0001,-2.540723287,5.8948771
09/01/2015,-0.07600524,0.000434933,-0.034768212,0.137718382,0.140752246,0,0.100066941,0,-0.331097721,-0.016100179,-0.001453306,-0.00899947,-0.025407233,-0.133443775,0.001886301,0.077328647,-0.000587544,0.093820624,0.004649966,0.002097786,-0.008614903,0.000124231,0.004155007,0.046488125,-0.002442419,-0.002430172,0.03114318,-0.066666667,-0.003747658,-0.008813281,0.0001,0.914538001,4.51070568
10/01/2015,-0.044286273,0.000414042,0.056603774,0.017866318,-0.049367424,0,0.041674635,-0.035714286,-0.396938156,-0.022727273,-0.001179393,0.003282358,0.00914538,-0.086124287,0.001789803,0.014681892,-0.001646091,-0.093485832,0.007880997,0.002238481,0,0,0,0,0,0,0,-0.035714286,0,0,0.0001,-3.305555556,2.539487739
11/01/2015,-0.067032374,0.000434564,-0.063311688,0.006742202,0.059202085,0,0.327728077,-0.037037037,-0.528849885,-0.013953488,-0.001507386,0.011135576,-0.033055556,0.028706924,0.001892376,-0.032154341,-0.005535273,-0.233235762,0.005558271,0.001282184,0,0,0,0,0,0,0,-0.074074074,0,0,0.0001,-3.52628555,3.297188465
12/01/2015,-0.027333131,0.000458015,-0.048526863,-0.174252353,-0.155725004,0,-0.325734291,0,-1.744526654,-0.016037736,-0.001308374,0.011931204,-0.035262856,-0.072151536,0.001594668,-0.004983389,-0.002842255,0.268260196,0.00515008,0.002726315,-0.00552985,0.001055835,-0.000675562,0.037662965,-0.017074266,-0.004045323,0.077889496,-0.06,-0.006896552,-0.047353184,0.0001,-0.37593985,3.033605702
13/01/2015,-0.022780113,0.000419409,0.098360656,0.187787076,0.122205415,0.081954448,1.986101142,1.269230769,0.102575377,-0.002265071,-0.000806208,0.000449581,-0.003759398,-0.010362036,0.001786696,-0.028380634,0,-0.158912414,0.001286161,0.00210612,-0.001475261,0.001489018,-0.005154639,-0.043741275,0.001853334,0.005828966,0.022994076,0.361702128,-0.005050505,-0.003907098,0.0001,-12.23239305,1.948498187
14/01/2015,-0.040559036,0.000374948,0.129353234,0.159854632,-0.025036425,0,-0.733623655,-0.559322034,1.16080132,-0.019787663,-0.00093293,0.245286269,-0.122323931,-0.18262349,0.001738856,0.116838488,0.000950119,0.713164645,0.006644679,0.004378099,-0.010910331,0,0.001359042,-0.011678832,-0.003976137,-0.005586126,0.022301767,0.5625,-0.000634518,0.05853127,0.6249,-20.57383679,5.131537287
