Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score,Bitcoin Core (BTC) Price
01/01/2015,177.88,0.16109,1.2104,18.38,19.2,113.08,3234.678,9307.26,2058.9,-0.213298,50,0,317.55
02/01/2015,177.94,0.16112,1.2002,18.94,17.79,112.55,3234.678,9307.26,2058.2,-0.228104,51,0,315.5
05/01/2015,174.84,0.16072,1.1933,19.44,19.92,121.87,3350.519,9274.11,2020.58,-0.267953,67,0,268.3
06/01/2015,173.39,0.16088,1.189,20.47,21.12,118.45,3351.446,9048.34,2002.61,-0.279667,74,0.2023,272.73
07/01/2015,175.59,0.16099,1.1839,20.09,19.31,107.69,3373.954,9080.09,2025.9,-0.290595,54,0,283.29
08/01/2015,178.76,0.16099,1.1793,19.79,17.01,98.44,3293.456,9238.03,2062.14,-0.30074,60,0,292.83
09/01/2015,177.22,0.16101,1.1842,20.71,17.55,103.77,3285.412,9215.58,2044.81,-0.310106,56,0,285.39
12/01/2015,176.24,0.16118,1.1834,21.49,19.6,109.04,3229.316,9178.3,2028.26,-0.33426,47,0,268.66
13/01/2015,175.98,0.16142,1.1773,20.55,20.56,109.22,3235.301,9231.8,2023.03,-0.341946,64,0,267.65
14/01/2015,174.06,0.16142,1.1789,20.31,21.48,113.5,3222.437,9180.23,2011.27,-0.349572,100,0.6249,234.91
15/01/2015,173.06,0.16167,1.1633,21.48,22.39,117.07,3336.455,9165.09,1992.67,-0.35714,84,0,186.58
16/01/2015,174.67,0.16114,1.1567,22.16,20.95,111.32,3376.495,9138.29,2019.42,-0.364651,70,0,206.24
19/01/2015,174.67,0.16075,1.1606,22.16,20.95,111.32,3116.35,9174.06,2019.42,-0.388268,50,0,208.67
20/01/2015,174.9,0.16085,1.155,22.94,19.89,108.4,3173.052,9251.69,2022.55,-0.398369,53,0,213.7
21/01/2015,175.35,0.16108,1.161,22.54,18.85,98.62,3323.611,9319.71,2032.12,-0.409821,60,0,210.67
22/01/2015,177.92,0.16118,1.1366,22.42,16.4,93.25,3343.343,9369.51,2063.15,-0.422629,51,0,222.97
23/01/2015,176.41,0.16047,1.1204,21.74,16.66,96.33,3351.764,9470.94,2051.82,-0.436797,52,0,232.94
26/01/2015,176.5,0.15994,1.1238,22.15,15.52,91.94,3383.182,9477.67,2057.09,-0.485023,78,0,251.97
27/01/2015,173.59,0.16025,1.1381,22.88,17.22,96.11,3352.96,9521.59,2029.55,-0.499722,63,0,277.93
28/01/2015,171.72,0.1601,1.1287,21.97,20.44,108.68,3305.738,9510.92,2002.16,-0.513329,61,0,262.83
29/01/2015,173.9,0.16003,1.132,21.59,18.76,100.7,3262.305,9426.9,2021.25,-0.525847,58,0,239.52
30/01/2015,171.45,0.15989,1.1291,22.29,20.97,108.99,3210.363,9361.91,1994.99,-0.537279,51,0,231.59
02/02/2015,173.27,0.15978,1.1341,22.45,19.43,106.74,3128.3,9386.99,2020.85,-0.565183,47,0,223.82
03/02/2015,176.33,0.15974,1.1481,21.87,17.33,101.03,3204.907,9448.73,2050.03,-0.57247,52,0,235.41
04/02/2015,176.53,0.16006,1.1345,22.27,18.33,103.74,3174.126,9513.92,2041.51,-0.578767,48,0,230.99
05/02/2015,178.55,0.15996,1.1477,22.58,16.85,98.56,3136.531,9512.05,2062.52,-0.584076,52,0,226.42
06/02/2015,178.09,0.16014,1.1316,21.33,17.29,101.69,3075.907,9456.18,2055.47,-0.5884,51,0,218.38
09/02/2015,177.09,0.15999,1.1325,21.69,18.55,104.19,3095.124,9421.5,2046.74,-0.596781,63,0,224.35
10/02/2015,178.51,0.16025,1.1321,21.28,17.23,97.33,3141.593,9393.7,2068.59,-0.599803,61,0,220.23
11/02/2015,178.7,0.16017,1.1336,20.86,16.96,98.73,3157.704,9462.22,2068.53,-0.603159,51,0,218.92
12/02/2015,179.840125,0.1601,1.1403,21.15,15.34,93.24,3173.416,9496.31,2088.48,-0.606851,57,0,219.61
13/02/2015,180.34,0.16014,1.1394,21.26,14.69,92.74,3203.827,9529.51,2096.99,-0.610879,49,0,220.6
16/02/2015,180.34,0.16002,1.1355,21.26,14.69,92.74,3222.363,9529.51,2096.99,-0.62355,53,0,241.88
17/02/2015,180.57,0.15975,1.1411,20.57,15.8,92.95,3246.906,9529.51,2100.34,-0.626041,54,0,235.1
18/02/2015,180.47,0.15984,1.1397,21.04,15.45,89.38,3246.906,9529.51,2099.68,-0.627426,50,0,241.55
19/02/2015,180.09,0.15988,1.1368,20.54,15.29,87.6,3246.906,9529.51,2097.45,-0.627705,55,0,237.23
20/02/2015,181.14,0.15988,1.1381,20.45,14.3,85.78,3246.906,9529.51,2110.3,-0.626878,89,0,239.43
23/02/2015,180.92,0.15982,1.1335,20.54,14.56,86.13,3246.906,9529.51,2109.66,-0.618088,52,0,237.6
24/02/2015,181.91,0.15987,1.134,20.42,13.69,82.65,3246.906,9629.37,2115.48,-0.613488,49,0,237.33
25/02/2015,181.96,0.15975,1.1361,20.79,13.84,86.57,3228.843,9699.54,2113.86,-0.608105,47,0,238
26/02/2015,182.01,0.15979,1.1198,20.96,13.91,86.93,3298.358,9622.1,2110.74,-0.601938,45,0,236.95
27/02/2015,181.19,0.15958,1.1196,21.28,13.34,85.23,3310.303,9622.1,2104.5,-0.594985,48,-0.8236,235.84
02/03/2015,182.68,0.1594,1.1184,20.76,13.04,81.84,3336.285,9601.36,2117.39,-0.570865,51,0,257.43
03/03/2015,181.87,0.15931,1.1176,20.38,13.86,85.05,3263.053,9605.77,2107.78,-0.563702,51,0,271.6
04/03/2015,180.78,0.15954,1.1078,20.04,14.23,84.1,3279.533,9621.73,2098.53,-0.55722,52,0,280.35
05/03/2015,181.17,0.15968,1.103,20.08,14.04,81.26,3248.476,9595.09,2101.04,-0.551418,51,0,274.18
