Date,Trend
01-01-2015,50
02-01-2015,51
03-01-2015,56
04-01-2015,69
05-01-2015,67
06-01-2015,74
07-01-2015,54
08-01-2015,60
09-01-2015,56
10-01-2015,54
11-01-2015,50
12-01-2015,47
13-01-2015,64
14-01-2015,100
15-01-2015,84
16-01-2015,70
17-01-2015,57
18-01-2015,54
19-01-2015,50
20-01-2015,53
21-01-2015,60
22-01-2015,51
23-01-2015,52
24-01-2015,52
25-01-2015,56
26-01-2015,78
27-01-2015,63
28-01-2015,61
29-01-2015,58
30-01-2015,51
31-01-2015,47
01-02-2015,50
02-02-2015,47
03-02-2015,52
04-02-2015,48
05-02-2015,52
06-02-2015,51
07-02-2015,63
08-02-2015,59
09-02-2015,63
10-02-2015,61
11-02-2015,51
12-02-2015,57
13-02-2015,49
14-02-2015,52
15-02-2015,52
16-02-2015,53
17-02-2015,54
18-02-2015,50
19-02-2015,55
20-02-2015,89
21-02-2015,56
22-02-2015,53
23-02-2015,52
24-02-2015,49
25-02-2015,47
26-02-2015,45
27-02-2015,48
28-02-2015,44
01-03-2015,48
02-03-2015,51
03-03-2015,51
04-03-2015,52
05-03-2015,51
06-03-2015,62
07-03-2015,62
08-03-2015,53
09-03-2015,52
10-03-2015,61
11-03-2015,59
12-03-2015,52
13-03-2015,53
14-03-2015,52
15-03-2015,50
16-03-2015,54
17-03-2015,52
18-03-2015,59
19-03-2015,60
20-03-2015,50
21-03-2015,47
22-03-2015,47
23-03-2015,49
24-03-2015,49
25-03-2015,56
26-03-2015,52
27-03-2015,44
28-03-2015,41
29-03-2015,46
30-03-2015,58
31-03-2015,50
01-04-2015,51
02-04-2015,46
03-04-2015,46
04-04-2015,45
05-04-2015,48
06-04-2015,46
07-04-2015,48
08-04-2015,51
09-04-2015,49
10-04-2015,48
11-04-2015,42
12-04-2015,43
13-04-2015,48
14-04-2015,49
15-04-2015,45
16-04-2015,43
17-04-2015,44
18-04-2015,44
19-04-2015,46
20-04-2015,44
21-04-2015,49
22-04-2015,51
23-04-2015,45
24-04-2015,44
25-04-2015,43
26-04-2015,43
27-04-2015,45
28-04-2015,45
29-04-2015,44
30-04-2015,48
01-05-2015,45
02-05-2015,40
03-05-2015,41
04-05-2015,40
05-05-2015,42
06-05-2015,47
07-05-2015,43
08-05-2015,44
09-05-2015,39
10-05-2015,40
11-05-2015,43
12-05-2015,43
13-05-2015,46
14-05-2015,59
15-05-2015,44
16-05-2015,45
17-05-2015,44
