#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)",,,,,,
01/01/2015,177.88,0.16109,1.2104,#N/A,#N/A,#N/A,#N/A,,,,,,
02/01/2015,177.94,0.16112,1.2002,#N/A,#N/A,#N/A,#N/A,,,,,,
05/01/2015,174.84,0.16072,1.1933,#N/A,#N/A,#N/A,#N/A,,,,,,
06/01/2015,173.39,0.16088,1.189,#N/A,#N/A,#N/A,#N/A,,,,,,
07/01/2015,175.59,0.16099,1.1839,#N/A,#N/A,#N/A,#N/A,,,,,,
08/01/2015,178.76,0.16099,1.1793,#N/A,#N/A,#N/A,#N/A,,,,,,
09/01/2015,177.22,0.16101,1.1842,#N/A,#N/A,#N/A,#N/A,,,,,,
12/01/2015,176.24,0.16118,1.1834,#N/A,#N/A,#N/A,#N/A,,,,,,
13/01/2015,175.98,0.16142,1.1773,#N/A,#N/A,#N/A,#N/A,,,,,,
14/01/2015,174.06,0.16142,1.1789,#N/A,#N/A,#N/A,#N/A,,,,,,
15/01/2015,173.06,0.16167,1.1633,#N/A,#N/A,#N/A,#N/A,,,,,,
16/01/2015,174.67,0.16114,1.1567,#N/A,#N/A,#N/A,#N/A,,,,,,
19/01/2015,174.67,0.16075,1.1606,#N/A,#N/A,#N/A,#N/A,,,,,,
20/01/2015,174.9,0.16085,1.155,#N/A,#N/A,#N/A,#N/A,,,,,,
21/01/2015,175.35,0.16108,1.161,#N/A,#N/A,#N/A,#N/A,,,,,,
22/01/2015,177.92,0.16118,1.1366,#N/A,#N/A,#N/A,#N/A,,,,,,
23/01/2015,176.41,0.16047,1.1204,#N/A,#N/A,#N/A,#N/A,,,,,,
