#NAME?,GDX US Equity,VIX Index,VVIX Index,SHCOMP Index,TWSE Index,SPX Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)",,,,,,
01/01/2015,18.38,19.2,113.08,3234.678,9307.26,2058.9,,,,,,
02/01/2015,18.94,17.79,112.55,3234.678,9307.26,2058.2,,,,,,
05/01/2015,19.44,19.92,121.87,3350.519,9274.11,2020.58,,,,,,
06/01/2015,20.47,21.12,118.45,3351.446,9048.34,2002.61,,,,,,
07/01/2015,20.09,19.31,107.69,3373.954,9080.09,2025.9,,,,,,
08/01/2015,19.79,17.01,98.44,3293.456,9238.03,2062.14,,,,,,
09/01/2015,20.71,17.55,103.77,3285.412,9215.58,2044.81,,,,,,
12/01/2015,21.49,19.6,109.04,3229.316,9178.3,2028.26,,,,,,
13/01/2015,20.55,20.56,109.22,3235.301,9231.8,2023.03,,,,,,
14/01/2015,20.31,21.48,113.5,3222.437,9180.23,2011.27,,,,,,
15/01/2015,21.48,22.39,117.07,3336.455,9165.09,1992.67,,,,,,
16/01/2015,22.16,20.95,111.32,3376.495,9138.29,2019.42,,,,,,
19/01/2015,22.16,20.95,111.32,3116.35,9174.06,2019.42,,,,,,
20/01/2015,22.94,19.89,108.4,3173.052,9251.69,2022.55,,,,,,
21/01/2015,22.54,18.85,98.62,3323.611,9319.71,2032.12,,,,,,
22/01/2015,22.42,16.4,93.25,3343.343,9369.51,2063.15,,,,,,
23/01/2015,21.74,16.66,96.33,3351.764,9470.94,2051.82,,,,,,
26/01/2015,22.15,15.52,91.94,3383.182,9477.67,2057.09,,,,,,
27/01/2015,22.88,17.22,96.11,3352.96,9521.59,2029.55,,,,,,
28/01/2015,21.97,20.44,108.68,3305.738,9510.92,2002.16,,,,,,
29/01/2015,21.59,18.76,100.7,3262.305,9426.9,2021.25,,,,,,
30/01/2015,22.29,20.97,108.99,3210.363,9361.91,1994.99,,,,,,
02/02/2015,22.45,19.43,106.74,3128.3,9386.99,2020.85,,,,,,
03/02/2015,21.87,17.33,101.03,3204.907,9448.73,2050.03,,,,,,
04/02/2015,22.27,18.33,103.74,3174.126,9513.92,2041.51,,,,,,
05/02/2015,22.58,16.85,98.56,3136.531,9512.05,2062.52,,,,,,
06/02/2015,21.33,17.29,101.69,3075.907,9456.18,2055.47,,,,,,
09/02/2015,21.69,18.55,104.19,3095.124,9421.5,2046.74,,,,,,
10/02/2015,21.28,17.23,97.33,3141.593,9393.7,2068.59,,,,,,
11/02/2015,20.86,16.96,98.73,3157.704,9462.22,2068.53,,,,,,
12/02/2015,21.15,15.34,93.24,3173.416,9496.31,2088.48,,,,,,
13/02/2015,21.26,14.69,92.74,3203.827,9529.51,2096.99,,,,,,
16/02/2015,21.26,14.69,92.74,3222.363,9529.51,2096.99,,,,,,
17/02/2015,20.57,15.8,92.95,3246.906,9529.51,2100.34,,,,,,
18/02/2015,21.04,15.45,89.38,3246.906,9529.51,2099.68,,,,,,
19/02/2015,20.54,15.29,87.6,3246.906,9529.51,2097.45,,,,,,
20/02/2015,20.45,14.3,85.78,3246.906,9529.51,2110.3,,,,,,
23/02/2015,20.54,14.56,86.13,3246.906,9529.51,2109.66,,,,,,
24/02/2015,20.42,13.69,82.65,3246.906,9629.37,2115.48,,,,,,
