Date,Annual Hash Growth,Block Height,Block Interval,Block Size,Blockchain Size,Daily Blocks,Chain Value Density,Daily Transactions,Difficulty,Fee Percentage,Fee Rate,Two-Week Hash Growth,Hash Rate,Inflation Rate,Market Capitalization,Metcalfe's Law - TX,Metcalfe's Law - UTXO,Miner Revenue Value,Miner Revenue,Money Supply,Output Value,Output Volume,Price Volatility,Bitcoin Core (BTC) Price,Quarterly Hash Growth,Total Transactions,Transaction Amount,Fees Value,Transaction Fees,Transaction Size,Transaction Value,Transactions per Block,Avg. UTXO Amount,Avg. UTXO Value,Velocity - Daily,Velocity - Quarterly,Velocity of Money,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score
01-01-2015,2884.59,336865,567,265887,28565224287,152,159365.58,75981,40640955017,0.00118685,28,11.1225,311368.2408,12.0154,4341424519,8.56,2.77,1210245.95,3811.198077,13671625,299608345.2,943499.7487,36.42073908,317.55,28.9469,55480699,12.57691244,3555.95,11.19807656,579,3993.8,500,0.8583,272.55,0.0690124,6.02809,19.2134,177.88,0.16109,1.2104,18.38,19.2,113.08,3234.678,9307.26,2058.9,-0.213298,50,0
02-01-2015,2963.58,337030,525,190803,28596706708,165,158210.17,60342,40640955017,0.00170835,26,14.734,314716.1956,12.0185,4314699125,10.94,2.75,1304023.68,4133.19709,13675750,151381901.4,479815.8522,36.19727967,315.5,28.7583,55541041,8.73664611,2586.18,8.19708968,543,2756.41,366,0.8578,270.64,0.0350858,6.00811,19.2044,177.94,0.16112,1.2002,18.94,17.79,112.55,3234.678,9307.26,2058.2,-0.228104,51,0
03-01-2015,2988.86,337195,525,275957,28642239694,165,157515.51,83215,40640955017,0.00165245,27,17.282,319745.3945,12.0154,4302594285,7.68,2.73,1301276.11,4137.339774,13679875,234866080.6,746744.5016,36.1430623,314.52,28.2332,55624256,10.31920416,3881.11,12.33977385,573,3245.6,504,0.8558,269.17,0.054588,6.01388,19.1989,177.94,0.16112,1.2002,18.94,17.79,112.55,3234.678,9307.26,2058.2,-0.228104,56,0
04-01-2015,2980.75,337357,526,292996,28689705013,162,143937.95,81566,40640955017,0.00131521,25,20.548,323908.7622,12.0162,3938233615,7.18,2.49,1168953.49,4061.686915,13683925,255734231.8,888583.1542,46.20180148,287.8,25.0871,55705822,12.90732982,3363.49,11.68691488,658,3714.73,503,0.8526,245.38,0.0649371,6.00944,19.1947,177.94,0.16112,1.2002,18.94,17.79,112.55,3234.678,9307.26,2058.2,-0.228104,69,0
05-01-2015,2852.2,337529,498,274680,28736949981,172,134006.87,82941,40640955017,0.00202953,46,22.8029,326194.7089,12.0071,3672550768,6.58,2.31,1159478.11,4321.573277,13688225,285189334.9,1062949.441,50.42746696,268.3,23.1601,55788763,14.79609078,5788.11,21.57327749,590,3969.79,482,0.8507,228.24,0.0776559,6.00162,19.2191,174.84,0.16072,1.1933,19.44,19.92,121.87,3350.519,9274.11,2020.58,-0.267953,67,0
06-01-2015,2735.28,337685,552,362893,28793561346,156,135990.41,95877,40640955017,0.00140204,28,19.7942,325263.9259,11.9964,3734253251,5.71,2.35,1068010.62,3915.999765,13692125,311229651,1141163.975,51.2054622,272.73,25.0162,55884640,14.17979969,4363.62,15.99976518,615,3867.26,615,0.8505,231.96,0.0833457,6.02266,19.2301,173.39,0.16088,1.189,20.47,21.12,118.45,3351.446,9048.34,2002.61,-0.279667,74,0.2023
07-01-2015,2684.6,337843,546,317792,28843772452,158,141050.69,89006,40640955017,0.00109445,26,19.4956,326129.7571,11.9882,3879961087,6.43,2.44,1122681.43,3963.01114,13696075,336779310.1,1188814.678,53.84287022,283.29,26.6672,55973646,17.88096065,3685.93,13.0111396,608,5065.5,563,0.8508,241.02,0.0868006,6.04136,19.2385,175.59,0.16099,1.1839,20.09,19.31,107.69,3373.954,9080.09,2025.9,-0.290595,54,0
08-01-2015,2603.11,337983,604,345553,28892149891,140,145593.74,92709,40640955017,0.0010457,28,15.268,322666.4323,11.9727,4011646547,6.36,2.52,1028803.07,3513.311706,13699575,372766512,1272979.244,55.41846104,292.83,23.9644,56066355,16.87449903,3898.07,13.31170565,569,4941.36,662,0.851,249.2,0.092922,6.06241,19.2584,178.76,0.16099,1.1793,19.79,17.01,98.44,3293.456,9238.03,2062.14,-0.30074,60,0
09-01-2015,2405.26,338130,583,393142,28949941750,147,141649.34,105758,40640955017,0.00115034,28,10.2128,317471.445,11.9553,3910770518,5.37,2.46,1053380.74,3691.021888,13703250,397486869.3,1392784.853,54.91972425,285.39,20.7665,56172113,14.98813884,4572.49,16.02188773,613,4277.46,719,0.8505,242.72,0.10164,6.0906,19.2988,177.22,0.16101,1.1842,20.71,17.55,103.77,3285.412,9215.58,2044.81,-0.310106,56,0
10-01-2015,2298.74,338270,616,400166,29005965059,140,142705.13,100537,40640955017,0.00119828,27,6.15895,310256.1849,11.9412,3947544000,5.73,2.48,1012358.36,3515.133208,13706750,363715000.2,1262899.306,55.09999047,288,18.978,56272650,16.15821497,4358.36,15.13320827,622,4653.57,718,0.8491,244.54,0.0921381,6.1386,19.342,177.22,0.16101,1.1842,20.71,17.55,103.77,3285.412,9215.58,2044.81,-0.310106,54,0
